match_id,innings,over,ball_in_over,b14_actual_runs,b14_predicted_runs
335995,1,18,4,1,1.691095074887332
335995,1,18,5,1,1.809346643793036
335995,1,18,6,4,1.9787612666977275
335995,1,19,1,1,2.106597479793592
335995,1,19,2,2,1.8601968607918757
335995,1,19,3,0,1.922542747425914
335995,1,19,4,1,1.702187225557872
335995,1,19,5,1,1.6513719087868366
335995,1,19,6,1,1.8192084402195134
335995,2,15,1,1,0.9023788948242248
335995,2,15,2,1,0.9080403974227
335995,2,15,3,6,3.124222103691358
335995,2,15,4,1,2.2902502299285716
335995,2,15,5,0,1.8394737535025207
335995,2,15,6,1,1.7864397866282715
335995,2,16,1,3,2.0879144162070618
335995,2,16,2,4,2.1235555427654225
335995,2,16,3,1,2.013689565851908
335995,2,16,4,0,1.6365185194317402
335995,2,16,5,0,1.5417640891493622
335995,2,16,6,1,1.521636962248853
335995,2,17,1,4,1.7041036978407131
335995,2,17,2,0,1.6782772729546165
335995,2,17,3,1,1.569085180092697
335995,2,17,4,1,1.8995278845928236
335995,2,17,5,1,1.6203487516699009
335995,2,17,6,4,1.8119352927764605
335995,2,17,7,0,1.5833370104830158
335995,2,18,1,0,1.3250399776300819
335995,2,18,2,1,1.2763361766200652
335995,2,18,3,0,1.3677120743623263
335995,2,18,4,0,1.4246310986325215
335995,2,18,5,1,1.3827120765612289
335995,2,18,6,1,1.3553628582432449
335995,2,19,1,0,1.596217143500217
335995,2,19,2,0,1.3777459257100089
335995,2,19,3,4,1.4811307351270568
335996,1,15,1,6,5.955570283907285
335996,1,15,2,6,5.895252730882206
335996,1,15,3,0,3.8164245278542466
335996,1,15,4,1,3.7604379924359175
335996,1,15,5,1,2.797541098546957
335996,1,15,6,0,2.157035235044497
335996,1,16,1,1,2.2392795130313607
335996,1,16,2,4,2.258545720209521
335996,1,16,3,0,2.1875435453018093
335996,1,16,4,4,2.2858121173120347
335996,1,16,5,1,2.171567259489775
335996,1,16,6,6,2.8329406576062297
335996,1,17,1,1,2.2969027280746777
335996,1,17,2,1,2.7850709667037696
335996,1,17,3,1,2.8263852040947457
335996,1,17,4,4,2.9094514735620143
335996,1,17,5,1,2.546819797852345
335996,1,17,6,0,2.3548475895267353
335996,1,18,1,0,2.361188060080796
335996,1,18,2,4,2.488491952819397
335996,1,18,3,4,2.4327241769196593
335996,1,18,4,6,2.5870622914825154
335996,1,18,5,4,2.3086266350825655
335996,1,18,6,4,2.4259681011867413
335996,1,18,7,1,2.0906621715508846
