match_id,innings,over,ball_in_over,bowler,w2_actual_future_wicket,w2_predicted_wicket_prob
392220,2,8,6,A Symonds,0,0.4644384176548014
392220,2,15,6,RG Sharma,0,0.6133311063115838
392223,1,12,6,DR Smith,1,0.5025814445891942
392223,1,15,6,RP Singh,0,0.4286964364028394
392223,2,5,6,A Nehra,1,0.534824332098524
392223,2,8,6,A Mishra,0,0.6044367238150654
392223,2,12,6,PJ Sangwan,0,0.16268134379850438
392223,2,15,6,A Nehra,1,0.3603949771956099
392228,1,5,6,A Symonds,1,0.6057533308069141
392228,1,8,6,Harmeet Singh,0,0.6105743843409367
392228,1,12,6,RG Sharma,1,0.607372530637482
392228,2,5,6,BJ Hodge,1,0.6235841284734969
392228,2,12,6,M Kartik,0,0.42767040285068214
392236,1,5,6,A Symonds,1,0.6666977860998019
392236,1,8,6,Jaskaran Singh,0,0.5401967820099915
392236,1,12,6,A Symonds,0,0.4618618872095878
392236,2,5,6,RE van der Merwe,1,0.437399890416788
392236,2,8,6,B Akhil,1,0.5982967685676944
392236,2,12,6,RE van der Merwe,1,0.46354222548141255
392237,1,5,6,PP Ojha,0,0.5215513124811721
392237,1,8,6,A Symonds,1,0.4270896130643542
392237,1,12,6,RG Sharma,0,0.3504885128508138
392237,2,5,6,V Sehwag,0,0.4245956067282739
392237,2,12,6,A Nehra,0,0.42207146149093466
392237,2,15,6,PJ Sangwan,0,0.5193080083345472
419110,1,5,6,M Muralitharan,0,0.6054994614949817
419110,1,8,6,R Ashwin,0,0.6421688369408892
419110,1,12,6,R Ashwin,0,0.444698310624073
419110,1,15,6,L Balaji,1,0.518551084769115
419110,2,5,6,PP Ojha,1,0.5333123069961021
419110,2,8,6,RG Sharma,1,0.518885929392517
419112,1,5,6,JH Kallis,1,0.5635697722559176
419112,1,8,6,A Kumble,0,0.5244853489560185
419112,1,12,6,V Kohli,0,0.4941983472303382
419112,2,8,6,PP Chawla,0,0.5049465249385408
419112,2,15,6,Bipul Sharma,0,0.5294254575902276
419113,1,5,6,LR Shukla,1,0.6263168612672507
419113,1,8,6,LR Shukla,0,0.5006679651079643
419113,1,12,6,SE Bond,0,0.3509941750300503
419113,2,8,6,JM Kemp,1,0.4957819322607962
419113,2,15,6,M Muralitharan,0,0.4010322637447209
419121,1,5,6,L Balaji,1,0.6833166449675662
419121,1,8,6,M Muralitharan,1,0.606328836001774
419121,1,12,6,R Ashwin,0,0.43239589629565445
419121,2,5,6,J Theron,1,0.5071014928774739
419121,2,8,6,RR Powar,0,0.38166926785967464
419121,2,12,6,J Theron,1,0.5279646412826758
419125,1,5,6,DJ Bravo,0,0.6393768407314088
419125,1,8,6,Harbhajan Singh,0,0.3597944568188643
419125,1,12,6,SL Malinga,0,0.5435328823065841
419125,1,15,6,Z Khan,0,0.43343717267151693
419125,2,5,6,L Balaji,1,0.5234505234030934
419125,2,8,6,SB Jakati,0,0.6108088675998163
419125,2,12,6,M Muralitharan,1,0.3703773233648688
419134,1,5,6,S Narwal,1,0.449489878898124
419134,1,8,6,SK Warne,0,0.519241718333587
419134,1,15,6,SK Trivedi,0,0.4271391398706552
419134,2,5,6,UT Yadav,0,0.5607068750466481
419134,2,8,6,A Mishra,1,0.5259753712893506
419137,1,8,6,SK Warne,0,0.5517308457461945
419137,1,12,6,SK Warne,0,0.5314799933361031
419137,2,5,6,JA Morkel,1,0.587646726399716
419137,2,8,6,SB Jakati,0,0.5741355214393714
419137,2,15,6,DE Bollinger,1,0.4768930669581248
419141,1,5,6,A Symonds,0,0.657122717828075
419141,1,8,6,RJ Harris,1,0.5600539767981334
419141,1,12,6,RJ Harris,1,0.42518463508033333
419141,1,15,6,Harmeet Singh,1,0.548863752573535
419141,2,5,6,M Morkel,0,0.5769268105281126
419141,2,12,6,SK Trivedi,1,0.5602489231225032
419141,2,15,6,SK Warne,1,0.4563951994179687
419142,1,5,6,Harbhajan Singh,0,0.4157305037910542
419142,1,8,6,DJ Bravo,0,0.5203313137064267
419142,1,12,6,SL Malinga,0,0.39236101575463184
419142,1,15,6,KA Pollard,0,0.4494560100344083
419142,2,5,6,R Ashwin,1,0.6042122234186069
419142,2,8,6,T Thushara,1,0.5233892155930233
419142,2,12,6,R Ashwin,1,0.3909733691253227
419143,1,5,6,YK Pathan,0,0.6490315068765368
