match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
392190,1,15,4,41,47.20597
392190,1,15,5,40,45.632004
392190,1,15,6,39,42.283894
392190,1,16,1,39,39.21208
392190,1,16,2,38,33.458046
392190,1,16,3,38,35.500942
392190,1,16,4,36,30.471323
392190,1,16,5,36,32.591236
392190,1,16,6,32,31.718912
392190,1,17,1,31,30.053787
392190,1,17,2,29,28.14978
392190,1,17,3,28,25.313744
392190,1,17,4,27,23.575632
392190,1,17,5,27,20.898245
392190,1,17,6,27,18.846272
392190,1,17,7,26,18.949238
392190,1,17,8,25,19.656605
392190,1,18,1,25,16.72517
392190,1,18,2,24,14.546872
392190,1,18,3,23,12.646347
392190,1,18,4,22,11.235346
392190,1,18,5,22,10.445507
392190,1,18,6,22,8.935329
392190,1,18,7,20,8.93383
392190,1,18,8,19,8.469795
392190,1,19,1,18,8.41097
392190,1,19,2,14,7.259543
392190,1,19,3,14,6.2651205
392190,1,19,4,14,5.6242776
392190,1,19,5,8,5.9457126
392190,1,19,6,2,4.156891
392190,2,15,1,52,51.602497
392190,2,15,2,51,43.008217
392190,2,15,3,50,42.703594
392190,2,15,4,46,40.863182
392190,2,15,5,45,39.945763
392190,2,15,6,43,41.893456
392190,2,15,7,36,41.70091
392190,2,16,1,30,39.410027
392190,2,16,2,30,39.50966
392190,2,16,3,29,42.207016
392190,2,16,4,25,37.644917
392190,2,16,5,24,33.73848
392190,2,16,6,23,31.03668
392190,2,17,1,22,30.769491
392190,2,17,2,21,28.354124
392190,2,17,3,21,24.72709
392190,2,17,4,21,24.29966
392190,2,17,5,17,23.091108
392190,2,17,6,16,20.67638
392190,2,18,1,15,19.886728
392190,2,18,2,13,17.42833
392190,2,18,3,12,15.314669
392190,2,18,4,11,15.457779
392190,2,18,5,7,14.122894
392190,2,18,6,7,13.279718
392190,2,18,7,7,13.051764
392190,2,19,1,6,10.702183
392190,2,19,2,5,8.864804
392190,2,19,3,4,6.1809382
392190,2,19,4,3,4.0512466
392190,2,19,5,3,4.215428
392190,2,19,6,1,1.2468922
392190,2,19,7,1,0.8927347
392214,1,15,1,40,56.34683
392214,1,15,2,40,54.727055
392214,1,15,3,39,55.494514
392214,1,15,4,38,51.836937
392214,1,15,5,36,46.112194
392214,1,15,6,32,48.283897
392214,1,16,1,31,43.331863
