match_id,innings,over,ball_in_over,b13_actual,b13_predicted_prob
335983,2,2,1,0,0.3005893513121851
335983,2,2,2,0,0.2919719807211187
335983,2,2,3,0,0.30512671312559614
335983,2,2,4,0,0.28302248857759443
335983,2,2,5,0,0.29498796226171803
335983,2,2,6,0,0.27540281284231244
335983,2,3,1,0,0.2823317998423464
335983,2,3,2,0,0.2773713656541301
335983,2,3,3,0,0.27249644716486054
335983,2,3,4,0,0.2675629892480933
335983,2,3,5,0,0.26342152358736304
335983,2,3,6,0,0.2633444677865174
335983,2,4,1,0,0.28408803675039296
335983,2,4,2,0,0.26294616616035404
335983,2,4,3,0,0.2581618382822051
335983,2,4,4,0,0.2533544272257311
335983,2,4,5,0,0.2528733052781795
335983,2,4,6,0,0.2675383536310553
335983,2,5,1,0,0.27390251963737716
335983,2,5,2,0,0.2628799537317206
335983,2,5,3,0,0.27339661799123693
335983,2,5,4,0,0.25402273230543143
335983,2,5,5,0,0.24768950470951617
335983,2,5,6,1,0.3672536268839892
335983,2,5,7,0,0.36144505097109025
335983,2,5,8,0,0.36806556894728093
335983,2,6,1,0,0.3433372988409857
335983,2,6,2,0,0.320902339234257
335983,2,6,3,0,0.3154800931532402
335983,2,6,4,0,0.3100488096124568
335983,2,6,5,0,0.30461523354076814
335983,2,6,6,0,0.29918560891377816
335983,2,7,1,0,0.3134453656891456
335983,2,7,2,0,0.3327751955757074
335983,2,7,3,0,0.3271735202229032
335983,2,7,4,0,0.305120209130343
335983,2,7,5,0,0.30794931768498357
335983,2,7,6,0,0.31891499779970234
335983,2,8,1,0,0.31758795911425086
335983,2,8,2,0,0.3377210299484636
335983,2,8,3,0,0.33209225585684565
335983,2,8,4,0,0.309879128385334
335983,2,8,5,0,0.30441715849948114
335983,2,8,6,0,0.29897156417655424
335983,2,8,7,0,0.2935464747125162
335983,2,9,1,0,0.29840113454486394
335983,2,9,2,0,0.30798177858858433
335983,2,9,3,0,0.31572309626780065
335983,2,9,4,0,0.2939690545979471
335983,2,9,5,0,0.29763217924622254
335983,2,9,6,0,0.3082451807136175
335983,2,10,1,0,0.2983679752467732
335983,2,10,2,1,0.4268162198130176
335983,2,10,3,0,0.42029575362160443
335983,2,10,4,0,0.4137735785953071
335983,2,10,5,0,0.40725353226918454
335983,2,10,6,0,0.40073936909127766
335983,2,11,1,0,0.4077038579763357
335983,2,11,2,0,0.4197960220547181
335983,2,11,3,0,0.4433358793315682
335983,2,11,4,0,0.43288735467104594
335983,2,11,5,0,0.4038990945455334
335983,2,11,6,0,0.39736319885690774
335983,2,12,1,0,0.4042720195414512
335983,2,12,2,0,0.41680506106383813
335983,2,12,3,0,0.4288356958944457
335983,2,12,4,0,0.4036353824627962
335983,2,12,5,0,0.40863251027015796
335983,2,12,6,0,0.4205760323085191
335983,2,13,1,0,0.40898854246959027
335983,2,13,2,0,0.40237546325688545
335983,2,13,3,0,0.3957786910836574
335983,2,13,4,0,0.39308371714880813
335983,2,13,5,0,0.4060772170225808
335983,2,13,6,0,0.41397321657212327
335983,2,13,7,0,0.3850794562578815
335983,2,14,1,0,0.39025684368620805
335983,2,14,2,1,0.5277525272978096
335983,2,14,3,0,0.5332154250581012
335983,2,14,4,0,0.5453125257465957
335983,2,14,5,0,0.5193477351232658
335983,2,14,6,0,0.5332421177775354
335983,2,15,1,0,0.5427610951408183
335983,2,15,2,0,0.5167968202384127
335983,2,15,3,0,0.5224681853547462
335983,2,15,4,0,0.5346013063906182
335983,2,15,5,0,0.5085776305613748
335983,2,15,6,0,0.5058462135321823
335983,2,16,1,0,0.5128842522477557
335983,2,16,2,0,0.5058934177178964
335983,2,16,3,0,0.49888671380086896
335983,2,16,4,0,0.5047035448935664
335983,2,16,5,0,0.5168086682453414
335983,2,16,6,0,0.49497327971657507
335983,2,17,1,0,0.501969095279832
335983,2,17,2,0,0.49493283700869106
335983,2,17,3,0,0.49220563177573273
335983,2,17,4,1,0.6283031845081197
335983,2,17,5,0,0.6216736521480876
335983,2,17,6,0,0.6108653824267529
335983,2,18,1,0,0.6174238314543782
335983,2,18,2,0,0.6106827115945056
335983,2,18,3,0,0.6038893502439748
