match_id,innings,over,ball_in_over,b1_actual_score,b1_predicted_score
335995,1,15,3,158,155.27305138543113
335995,1,15,4,158,162.05309927659187
335995,1,15,5,158,164.80333032812405
335995,1,15,6,158,164.29644130624987
335995,1,16,1,158,164.14830357297393
335995,1,16,2,158,164.14830357297393
335995,1,16,3,158,164.07133880292
335995,1,16,4,158,161.10633589474014
335995,1,16,5,158,159.36629194555823
335995,1,16,6,158,159.36629194555823
335995,1,16,7,158,159.36629194555823
335995,1,17,1,158,161.11263005732147
335995,1,17,2,158,161.11263005732147
335995,1,17,3,158,161.7767816064754
335995,1,17,4,158,166.71622811802266
335995,1,17,5,158,163.3359008386526
335995,1,17,6,158,162.3800170552306
335995,1,18,1,158,162.32120930163106
335995,1,18,2,158,162.12781612439397
335995,1,18,3,158,165.88478300535525
335995,1,18,4,158,164.83717288175768
335995,1,18,5,158,164.17161713361128
335995,1,18,6,158,167.5522481141926
335995,1,19,1,158,166.14352072977454
335995,1,19,2,158,167.01680692573422
335995,1,19,3,158,164.73226796887997
335995,1,19,4,158,164.73226796887997
335995,1,19,5,158,164.73226796887997
335995,1,19,6,158,164.34697322416034
335995,2,0,1,162,142.7074565891303
335995,2,0,2,162,139.4984164564877
335995,2,0,3,162,136.65503861057923
335995,2,0,4,162,139.62342632140627
335995,2,0,5,162,139.69682876422422
335995,2,0,6,162,130.5544836619008
335995,2,1,1,162,130.5544836619008
335995,2,1,2,162,130.5544836619008
335995,2,1,3,162,134.13383481662908
335995,2,1,4,162,134.4641308510686
335995,2,1,5,162,134.66684321008177
335995,2,1,6,162,134.5409695953922
335995,2,2,1,162,137.23115950174287
335995,2,2,2,162,137.21622051028652
335995,2,2,3,162,135.95650688216978
335995,2,2,4,162,139.54799889199109
335995,2,2,5,162,137.51685682712346
335995,2,2,6,162,137.51685682712346
335995,2,3,1,162,134.21139281531154
335995,2,3,2,162,133.52561504185772
335995,2,3,3,162,133.45484789773766
335995,2,3,4,162,137.4460896830034
335995,2,3,5,162,146.9237093061263
335995,2,3,6,162,156.46325423280157
335995,2,4,1,162,155.40688450072327
335995,2,4,2,162,152.43722044475297
335995,2,4,3,162,148.42253193329978
335995,2,4,4,162,145.26582382791153
335995,2,4,5,162,150.7523896549219
335995,2,4,6,162,155.75948841807036
335995,2,5,1,162,156.76269269396397
335995,2,5,2,162,158.30815160744825
335995,2,5,3,162,159.3769021607486
335995,2,5,4,162,159.63236521149108
335995,2,5,5,162,158.7451561667431
335995,2,5,6,162,158.89249469588148
335995,2,6,1,162,158.8221289296866
335995,2,6,2,162,158.7088312367606
335995,2,6,3,162,158.48332473445797
335995,2,6,4,162,160.78351008979607
335995,2,6,5,162,163.0019880617727
335995,2,6,6,162,161.34456212334712
335995,2,7,1,162,161.11905562104448
335995,2,7,2,162,161.1251134491279
335995,2,7,3,162,161.40590175166858
335995,2,7,4,162,162.41145482691576
335995,2,7,5,162,162.36676642861056
335995,2,7,6,162,163.41912838094515
335995,2,7,7,162,162.5659033898061
335995,2,7,8,162,161.8620034001848
335995,2,8,1,162,163.5877963205451
335995,2,8,2,162,161.68525406650215
335995,2,8,3,162,161.65377564534896
335995,2,8,4,162,162.3976487872613
335995,2,8,5,162,162.55162000190077
335995,2,8,6,162,161.65833136351785
335995,2,9,1,162,162.08972705248036
335995,2,9,2,162,161.44060991097206
335995,2,9,3,162,159.73538626697643
335995,2,9,4,162,162.12120547363355
335995,2,9,5,162,161.69035099178447
335995,2,9,6,162,160.1612343980861
335995,2,10,1,162,162.931913012554
335995,2,10,2,162,162.27237682230438
335995,2,10,3,162,162.64568956176274
335995,2,10,4,162,162.53239186883673
335995,2,10,5,162,161.99399939412683
335995,2,10,6,162,160.295591463424
335995,2,10,7,162,158.55038288193506
335995,2,11,1,162,162.4857657542061
335995,2,11,2,162,166.36716128637843
335995,2,11,3,162,164.20553546707052
335995,2,11,4,162,165.54736075578705
335995,2,11,5,162,163.27965900979362
335995,2,11,6,162,166.2127756857571
335995,2,11,7,162,165.54736075578705
335995,2,12,1,162,164.3388208075527
335995,2,12,2,162,163.5067929073858
335995,2,12,3,162,162.60034594102933
335995,2,12,4,162,164.52221886893477
335995,2,12,5,162,165.1876337989048
335995,2,12,6,162,170.72156900200392
335995,2,13,1,162,169.15297132519657
335995,2,13,2,162,168.92738742807964
335995,2,13,3,162,168.4417913134199
335995,2,13,4,162,165.13553946379108
335995,2,13,5,162,165.50865619645091
335995,2,13,6,162,164.11486854318306
335995,2,13,7,162,163.04634227123657
335995,2,14,1,162,163.06544920775937
335995,2,14,2,162,163.06544920775937
335995,2,14,3,162,163.1842194746335
335995,2,14,4,162,162.42108360629229
335995,2,14,5,162,162.42108360629229
335995,2,14,6,162,162.57728816886006
335995,2,15,1,162,162.55818123233726
335995,2,15,2,162,162.55818123233726
335995,2,15,3,162,164.38687489257458
335995,2,15,4,162,166.39411511126116
335995,2,15,5,162,163.31806193867436
335995,2,15,6,162,163.31806193867436
335995,2,16,1,162,167.271595259802
335995,2,16,2,162,168.01458426755477
335995,2,16,3,162,166.71664339701118
335995,2,16,4,162,165.26115385794643
335995,2,16,5,162,164.2238193251994
