match_id,innings,over,b11_actual_final_score,b11_predicted_final_score
335990,2,12,39,25.712044790933454
335990,2,13,39,24.516468349412538
335990,2,14,39,29.072217927230085
335990,2,15,39,32.06822962495638
335990,2,16,39,32.69290881118519
335990,2,17,39,35.60834243950645
335990,2,18,39,34.34541023577085
335990,2,19,39,38.88522414560197
335995,1,0,18,25.472137899796575
335995,1,1,18,24.950306230712744
335995,1,2,18,24.320261042689772
335995,1,3,18,23.486948148137763
335995,1,4,18,21.91084879901094
335995,1,5,18,20.840573216202493
335995,1,6,18,23.562541030341645
335995,1,7,18,22.61948136160815
335995,1,8,18,20.898841677046786
335995,1,9,18,20.008364360026235
335995,1,10,18,20.03482236278363
335995,1,11,18,18.187769683711206
335995,1,12,18,17.623784811630347
335995,1,13,18,17.222261591106736
335995,1,14,18,17.02432459020358
335995,1,15,18,16.831992432246242
335995,1,16,18,16.858259550758966
335995,1,17,18,16.09056971538134
335995,1,18,18,18.654137873601336
335995,1,19,18,17.914095950597545
335995,2,0,30,20.8219494260387
335995,2,1,30,21.272336598063678
335995,2,2,30,20.939927700661944
335995,2,3,30,21.718625038323225
335995,2,4,30,22.804686908813434
335995,2,5,30,26.23991405422326
335995,2,6,30,27.389360704879945
335995,2,7,30,27.884153930961364
335995,2,8,30,27.301802001450973
335995,2,9,30,26.50478070176158
335995,2,10,30,25.416276939534722
335995,2,11,30,25.920450638237597
335995,2,12,30,30.222349149278024
335995,2,13,30,27.98599653168538
335995,2,14,30,29.466170855150395
335995,2,15,30,28.728606613121826
335995,2,16,30,28.022423796401043
335995,2,17,30,26.726689100913145
335995,2,18,30,26.983302994757956
335995,2,19,30,29.773569837307846
335996,1,0,23,24.742903440656814
335996,1,1,23,28.035544894061687
335996,1,2,23,27.341176370106144
335996,1,3,23,23.702227394177527
335996,1,4,23,24.479295876893694
335996,1,5,23,24.41749182529953
335996,1,6,23,23.562541030341645
335996,1,7,23,22.61948136160815
335996,1,8,23,27.5464771963017
335996,1,9,23,25.50549460070744
335996,1,10,23,25.108676871908894
335996,1,11,23,23.95538508102029
335996,1,12,23,21.987134702629195
335996,1,13,23,23.369360379624986
335996,1,14,23,22.251231539078784
335996,1,15,23,20.465034380972803
335996,1,16,23,26.785663574431958
335996,1,17,23,24.868168288032813
335996,1,18,23,24.84992403567677
335996,1,19,23,23.15709515027321
335996,2,0,34,25.472137899796575
335996,2,1,34,25.115963693800936
335996,2,2,34,24.320261042689772
335996,2,3,34,22.77408682634524
335996,2,4,34,25.341552764126465
335996,2,5,34,30.569472604540437
335996,2,6,34,30.0386550736029
335996,2,7,34,29.996034311037644
335996,2,8,34,35.08879678300493
335996,2,9,34,34.63934266137901
335996,2,10,34,33.57890489875736
335996,2,11,34,33.6646762198529
335996,2,12,34,33.614737003192275
335996,2,13,34,32.29207810127457
335996,2,14,34,31.175082636707337
335996,2,15,34,32.73550446517748
335996,2,16,34,35.82721588542375
335996,2,17,34,36.16245426307821
335996,2,18,34,35.502796431509516
335996,2,19,34,32.62948942665597
336002,1,0,25,24.742903440656814
336002,1,1,25,24.950306230712744
336002,1,2,25,23.46225018842174
336002,1,3,25,22.77408682634524
336002,1,4,25,21.91084879901094
336002,1,5,25,25.83650060144446
336002,1,6,25,24.664824472614562
336002,1,7,25,27.43116190788029
336002,1,8,25,26.159667123907543
336002,1,9,25,26.197008875443384
336002,1,10,25,29.57848329260944
336002,1,11,25,29.130330315762617
336002,1,12,25,27.48272633438472
336002,1,13,25,27.22828634952912
336002,1,14,25,25.714700508958824
336002,1,15,25,24.09352821330091
336002,1,16,25,29.24405755716497
336002,1,17,25,28.410201731444744
336002,1,18,25,26.863449593838325
336002,1,19,25,25.078218001148393
336002,2,0,35,23.585344252402724
336002,2,1,35,29.818878019323314
336002,2,2,35,28.274122164763565
336002,2,3,35,27.630052510715892
336002,2,4,35,31.457532419316724
336002,2,5,35,29.278130812174147
336002,2,6,35,27.472073493444086
336002,2,7,35,26.608480290475587
336002,2,8,35,27.5464771963017
336002,2,9,35,27.227493359625523
