match_id,innings,over,ball_in_over,bowler,optimization_score
392190,2,12,6,MM Patel,-0.2666666666666668
392190,2,15,6,MM Patel,1.8529411764705883
392191,1,5,6,YA Abdulla,-4.558333333333333
392191,1,8,6,PP Chawla,0.32499999999999996
392191,1,12,6,RS Bopara,0.8
392191,1,15,6,IK Pathan,1.1277777777777773
392191,2,5,6,R Vinay Kumar,0.8
392191,2,8,6,A Kumble,2.2
392191,2,12,6,A Kumble,-1.55
392191,2,15,6,P Kumar,3.6333333333333333
392192,1,5,6,Harbhajan Singh,6.14
392192,1,8,6,Harbhajan Singh,2.7083333333333335
392192,1,12,6,ST Jayasuriya,1.4176470588235297
392192,1,15,6,Z Khan,0.5583333333333333
392192,2,5,6,RP Singh,-1.0875
392192,2,8,6,DR Smith,2.7083333333333335
392192,2,12,6,PP Ojha,-3.672222222222222
392192,2,15,6,Y Venugopal Rao,2.5944444444444446
392194,1,5,6,A Nehra,0.09411764705882358
392194,1,8,6,A Mishra,0.96
392194,1,12,6,A Mishra,-1.4874999999999998
392194,1,15,6,DP Nannes,-0.2944444444444446
392194,2,5,6,Pankaj Singh,-3.2055555555555553
392194,2,8,6,A Kumble,1.1666666666666667
392194,2,12,6,A Kumble,1.6833333333333333
392194,2,15,6,B Akhil,0.4333333333333334
392195,1,5,6,YK Pathan,1.6
392195,1,8,6,MM Patel,-4.305555555555556
392195,1,12,6,YK Pathan,1.6444444444444446
392195,1,15,6,SK Warne,3.2500000000000004
392195,2,5,6,VRV Singh,0.5833333333333333
392195,2,8,6,PP Chawla,-4.45
392195,2,12,6,PP Chawla,-3.6083333333333334
392195,2,15,6,Yuvraj Singh,0.5249999999999999
392196,1,5,6,Y Venugopal Rao,2.4833333333333334
392196,1,8,6,RG Sharma,-0.8583333333333333
392196,1,12,6,PP Ojha,-3.3583333333333334
392196,1,15,6,Shoaib Ahmed,1.3916666666666668
392196,2,5,6,SK Raina,-2.65
392196,2,8,6,M Muralitharan,1.4411764705882353
392196,2,12,6,JDP Oram,2.2
392196,2,15,6,M Muralitharan,-1.8791666666666667
392197,1,5,6,SC Ganguly,4.6000000000000005
392197,1,8,6,BAW Mendis,6.55
392197,1,12,6,LR Shukla,-0.125
392197,1,15,6,BAW Mendis,2.1333333333333333
392197,2,5,6,Harbhajan Singh,2.2666666666666666
392197,2,8,6,AM Nayar,3.4333333333333336
392197,2,12,6,AM Nayar,-6.772222222222222
392198,1,5,6,MM Patel,-0.9666666666666666
392198,1,8,6,MM Patel,-0.7090909090909088
392198,1,12,6,YK Pathan,4.783333333333333
392198,1,15,6,SK Warne,-2.7777777777777777
392198,2,5,6,A Nehra,-3.2055555555555553
392198,2,8,6,A Mishra,-0.6333333333333332
392198,2,12,6,DL Vettori,9.05
392198,2,15,6,DL Vettori,7.616666666666667
392199,1,5,6,A Kumble,-4.55
392199,1,8,6,P Kumar,-1.9388888888888887
392199,1,12,6,KP Pietersen,-0.9666666666666665
392199,1,15,6,KP Appanna,1.9444444444444444
392199,2,5,6,CH Gayle,1.5333333333333334
392199,2,8,6,CH Gayle,1.1666666666666667
392199,2,12,6,I Sharma,-2.588888888888889
392199,2,15,6,BJ Hodge,-5.688888888888889
392200,1,5,6,Harbhajan Singh,-1.8333333333333333
392200,1,8,6,JP Duminy,-1.7
